variable,true_index,true_rank,sobol_toi,rank_sobol_toi,rf_pvi,rank_rf_pvi
P1,0.40402834293680157,1,0.424209741831302,1,0.468085283129464,1
P2,0.359200162639404,2,0.39527426309281055,2,0.401017644313804,2
P3,0.2841518016258825,3,0.29920733582174164,3,0.3282638458857344,3
P4,0.1969068987812618,4,0.21109691300155242,4,0.1653728523593434,4
P5,0.12431641321132357,5,0.10594652124391601,5,0.10373503892952697,5
P6,0.03298190554586136,6,0.04220948349648257,7,0.025753034799557543,6
P7,0.0021015778566283567,7,0.03680197017065834,8,0.013406921379678333,7
P8,6.505044967586564e-05,8,0.04408957565802063,6,0.01222810536648935,8
